DateD_PO|ManufacturerID|Note|ProductType|Commessa|DateD|ID|Tag|SerialN
14-Oct-2020||LOCAL CONTROL PANEL FOR ZONE1/2|{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'BC20040', 'ID': '3343883000000579131'}||3343883000000579072|1IB02BC|BC20040-27
14-Oct-2020||LOCAL CONTROL PANEL FOR ZONE1/2|{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'BC20040', 'ID': '3343883000000579131'}||3343883000000579072|1IB02CW|BC20040-28
14-Oct-2020||LOCAL CONTROL PANEL FOR ZONE 1/2|{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'BC20030', 'ID': '3343883000000579007'}||3343883000000579072|1IB01CW|BC20030-21
14-Oct-2020||LOCAL CONTROL PANEL FOR ZONE1/2|{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'BC20030', 'ID': '3343883000000579007'}||3343883000000579072|1IB01BC|BC20030-20
14-Oct-2020||LOCAL CONTROL PANEL FOR ZONE1/2|{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'BC20030', 'ID': '3343883000000579007'}||3343883000000579072|1IB01AC|BC20030-19
14-Oct-2020||400x230x110 mm|{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'BC20030', 'ID': '3343883000000579007'}||3343883000000579072|1JBDZ724|BC20030-18
14-Oct-2020||400x230x110 mm|{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'BC20030', 'ID': '3343883000000579007'}||3343883000000579072|1JBDZ704|BC20030-17
14-Oct-2020||400x230x110 mm|{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'BC20030', 'ID': '3343883000000579007'}||3343883000000579072|1JBDZ7723|BC20030-16
14-Oct-2020||400x230x110 mm|{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'BC20030', 'ID': '3343883000000579007'}||3343883000000579072|1JBDZ703|BC20030-15
14-Oct-2020||400x230x110 mm|{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'BC20030', 'ID': '3343883000000579007'}||3343883000000579072|1JBAi727|BC20030-14
14-Oct-2020||400x230x110 mm|{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'BC20030', 'ID': '3343883000000579007'}||3343883000000579072|1JBAi707|BC20030-13
14-Oct-2020||400x310x180 mm|{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'BC20030', 'ID': '3343883000000579007'}||3343883000000579072|JBAZi726|BC20030-12
14-Oct-2020||400x310x180 mm|{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'BC20030', 'ID': '3343883000000579007'}||3343883000000579072|JBAZi706|BC20030-11
14-Oct-2020||400x310x180 mm|{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'BC20030', 'ID': '3343883000000579007'}||3343883000000579072|1JBAZi722|BC20030-10
14-Oct-2020||400x310x180 mm|{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'BC20030', 'ID': '3343883000000579007'}||3343883000000579072|JBAZi702|BC20030-09
14-Oct-2020||330x230x110 mm|{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'BC20030', 'ID': '3343883000000579007'}||3343883000000579072|JBAZi742|BC20030-08
14-Oct-2020||330x230x110 mm|{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'BC20030', 'ID': '3343883000000579007'}||3343883000000579072|JBAZi741|BC20030-07
14-Oct-2020||330x230x110 mm|{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'BC20030', 'ID': '3343883000000579007'}||3343883000000579072|1JBAZi721|BC20030-06
14-Oct-2020||330x230x110 mm|{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'BC20030', 'ID': '3343883000000579007'}||3343883000000579072|JBAZi701|BC20030-05
14-Oct-2020||400x230x110 mm|{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'BC20030', 'ID': '3343883000000579007'}||3343883000000579072|1JBAZI725|BC20030-04
14-Oct-2020||400x230x110 mm|{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'BC20030', 'ID': '3343883000000579007'}||3343883000000579072|1JBAZI705|BC20030-03
14-Oct-2020|Quadro PLC||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'BC20030', 'ID': '3343883000000579007'}||3343883000000579072||BC20030-01
|Pannello Porta Strumenti||{'display_value': 'Instrument Board Panel', 'ID': '3343883000000566020'}|{'display_value': 'BC19050', 'ID': '3343883000000226555'}||3343883000000566272||BC19050-02
|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'BC19050', 'ID': '3343883000000226555'}||3343883000000565760||BC19050-01
|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'IU20020', 'ID': '3343883000000566003'}||3343883000000565760||IU20020-01
|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'GR19040', 'ID': '3343883000000532003'}||3343883000000531968||GR19040-01
|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'IU19040', 'ID': '3343883000000227595'}||3343883000000518144||IU19040-03
|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'IU19040', 'ID': '3343883000000227595'}||3343883000000518144||IU19040-02
|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'IU19040', 'ID': '3343883000000227595'}||3343883000000518144||IU19040-01
17-Jul-2020|||{'display_value': 'Spare Parts', 'ID': '3343883000000485042'}|{'display_value': 'HS20010', 'ID': '3343883000000502003'}||3343883000000502272||HS20010-SP02
17-Jul-2020|||{'display_value': 'Spare Parts', 'ID': '3343883000000485042'}|{'display_value': 'HS20010', 'ID': '3343883000000502003'}||3343883000000502272||HS20010-SP01
17-Jul-2020|||{'display_value': 'Engineering Station / SCADA', 'ID': '3343883000000303018'}|{'display_value': 'HS20010', 'ID': '3343883000000502003'}||3343883000000502272||HS20010-ES01
17-Jul-2020|Pulsantiere||{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'HS20010', 'ID': '3343883000000502003'}||3343883000000502272||HS20010-LCP02
17-Jul-2020|Pulsantiere||{'display_value': 'Junction Box / Pushbutton', 'ID': '3343883000000404024'}|{'display_value': 'HS20010', 'ID': '3343883000000502003'}||3343883000000501760||HS20010-LCP01
17-Jul-2020|Cabient Exp||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'HS20010', 'ID': '3343883000000502003'}||3343883000000501760||HS20010-01
10-May-2020|Laser Printer||{'display_value': 'Accesories', 'ID': '3343883000000485057'}|{'display_value': 'NE20010', 'ID': '3343883000000485030'}||3343883000000484864||NE20010-PR01
10-May-2020|Engineering Station Laptop||{'display_value': 'Engineering Station / SCADA', 'ID': '3343883000000303018'}|{'display_value': 'NE20010', 'ID': '3343883000000485030'}||3343883000000484864||NE20010-ES01
10-May-2020|Spare Parts||{'display_value': 'Spare Parts', 'ID': '3343883000000485042'}|{'display_value': 'NE20010', 'ID': '3343883000000485030'}||3343883000000484864||NE20010-SP
10-May-2020|UCP Control Cabinet||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'NE20010', 'ID': '3343883000000485030'}||3343883000000484864||NE20010-01
09-Oct-2020|MMS Control Cabinet||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'NE19030', 'ID': '3343883000000227935'}||3343883000000484864||NE19030-11
09-Oct-2020|UCP Control Cabinet||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'NE19030', 'ID': '3343883000000227935'}||3343883000000484864||NE19030-03
09-Oct-2020|UCP Control Cabinet||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'NE19030', 'ID': '3343883000000227935'}||3343883000000484864||NE19030-02
09-Oct-2020|UCP Control Cabinet||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'NE19030', 'ID': '3343883000000227935'}||3343883000000484864||NE19030-01
30-Mar-2020|||{'display_value': 'Engineering Station / SCADA', 'ID': '3343883000000303018'}|{'display_value': 'PF19010', 'ID': '3343883000000352003'}||3343883000000481792||PF19010-ES01
13-Feb-2020|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'BC19170', 'ID': '3343883000000410030'}||3343883000000410112||BC19170-01
13-Feb-2020|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'BC19160', 'ID': '3343883000000410025'}||3343883000000410112||BC19160-01
13-Feb-2020|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'BC19090', 'ID': '3343883000000226575'}||3343883000000410112||BC19090-01
13-Feb-2020|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'BC19080', 'ID': '3343883000000226570'}||3343883000000410112||BC19080-01
